date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:46:41	13534/13534	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:43:21%20GMT	https://www.duoback.co.kr/goods/search_list?page=1&searchMode=best&searchLimit=5&category=c00010002&sorting=sale&filter_display=lattice&duobackTopBest=1	D:/gowoon/duoback/www.duoback.co.kr/goods/search_listcdf5.html	(from https://www.duoback.co.kr/goods/catalog?code=00010002)
21:46:42	0/0	---M--	200	added ('OK')	text/css	date:Sun,%2006%20Feb%202022%2012:43:21%20GMT	https://www.duoback.co.kr/link/css?k=quickdesign&v=20220206213725	D:/gowoon/duoback/www.duoback.co.kr/link/css8d0f	(from https://www.duoback.co.kr/goods/catalog?code=000100020001)
21:46:42	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.3fd.delayed	(from https://www.duoback.co.kr/goods/catalog?code=000100020001)
21:46:42	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.3fe.delayed	(from https://www.duoback.co.kr/goods/catalog?code=000100020001)
21:46:42	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.3ff.delayed	(from https://www.duoback.co.kr/goods/catalog?code=000100020001)
21:46:42	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.400.delayed	(from https://www.duoback.co.kr/goods/catalog?code=000100020002)
21:46:42	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.401.delayed	(from https://www.duoback.co.kr/goods/catalog?code=000100020002)
21:46:42	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.402.delayed	(from https://www.duoback.co.kr/goods/catalog?code=000100020002)
21:46:42	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.403.delayed	(from https://www.duoback.co.kr/goods/catalog?code=000100020004)
21:46:42	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.404.delayed	(from https://www.duoback.co.kr/goods/catalog?code=000100020004)
